                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1082,                  1.782,                 5.6605,                 1.2739,                 0.3531,                0.10811,                0.07409,                 0.0588,                 0.3531,                0.10811,                0.07409,                0.05759,                 1.2435,                 1.8213,                 3.9684,                 1.3004,              2.858e-05,              2.858e-05,              2.858e-05
                      2,                0.96279,                 1.1338,                 2.7346,                 1.0644,                0.54467,                0.21622,                0.31965,                0.24886,                0.54467,                0.21622,                0.31965,                0.25531,                 1.2793,                 1.7399,                 5.1457,                 1.2404,             7.0035e-05,             7.0035e-05,             7.0035e-05
                      3,                0.77388,                 1.2266,                 1.1986,                0.97632,                0.52162,                0.21622,                0.26639,                0.16837,                0.52162,                0.21622,                0.26639,                0.16342,                 1.2771,                 1.7205,                 4.7459,                 1.2386,             0.00010979,             0.00010979,             0.00010979
                      4,                0.82999,                0.95589,                 2.3191,                0.99997,                0.97937,                0.27027,                 0.3008,                0.22111,                0.97937,                0.27027,                 0.3008,                0.22798,                 1.2706,                 1.6541,                 3.3604,                 1.1971,             0.00014785,             0.00014785,             0.00014785
                      5,                0.73343,                0.98542,                 1.7428,                0.95755,                0.58911,                0.35135,                0.42774,                0.32699,                0.58911,                0.35135,                0.42498,                 0.3229,                 1.2013,                 1.6539,                 4.1592,                 1.1436,             0.00018422,             0.00018422,             0.00018422
                      6,                0.73583,                0.94245,                 1.2307,                0.88611,                0.04478,                0.43243,                0.04259,                0.02705,                0.04344,                0.40541,                0.04149,                 0.0255,                 1.2431,                 1.8028,                 6.0287,                 1.1701,             0.00021888,             0.00021888,             0.00021888
                      7,                0.76536,                 1.1288,                 1.8821,                  0.954,                0.08379,                0.40541,                0.06764,                 0.0438,                0.08379,                0.40541,                0.06638,                0.04438,                 1.2679,                 1.8413,                 6.7414,                 1.2041,             0.00025185,             0.00025185,             0.00025185
                      8,                0.75974,                 1.1247,                 1.3544,                0.98323,                0.07408,                0.43243,                0.05574,                0.03962,                0.07408,                0.43243,                0.05574,                0.03962,                 1.2166,                 1.9734,                 14.631,                 1.1755,             0.00028312,             0.00028312,             0.00028312
                      9,                0.74971,                 1.4002,                 1.0327,                0.94498,                0.07004,                0.48649,                0.04923,                0.03509,                 0.0723,                0.51351,                0.05123,                0.03686,                 1.1699,                 1.8987,                 24.062,                 1.1528,             0.00031269,             0.00031269,             0.00031269
                     10,                0.66854,                0.94097,                 1.0433,                0.92943,                0.20429,                0.45946,                0.17154,                0.12993,                0.20429,                0.45946,                0.17442,                0.12216,                 1.2326,                 2.2263,                 7.4013,                 1.1791,             0.00034056,             0.00034056,             0.00034056
                     11,                0.77794,                 1.0605,                 1.3403,                0.98766,                0.11957,                0.45946,                0.08241,                 0.0577,                0.12334,                0.49053,                0.08681,                0.05265,                 1.2963,                  2.407,                 28.813,                 1.2073,             0.00036674,             0.00036674,             0.00036674
                     12,                0.84551,                 1.1565,                 1.0222,                0.98023,                0.13286,                0.59459,                0.13138,                0.08426,                0.13286,                0.59459,                 0.1337,                 0.0745,                 1.3536,                 2.5893,                 30.695,                 1.2348,             0.00039122,             0.00039122,             0.00039122
                     13,                0.86308,                 1.1352,                 1.5514,                 1.0109,                0.08175,                0.45946,                0.06329,                0.03957,                0.08175,                0.45946,                0.06329,                0.03759,                 1.3937,                 2.0895,                 13.769,                 1.2804,               0.000414,               0.000414,               0.000414
                     14,                0.76515,                0.99997,                 2.1107,                0.99653,                0.57846,                 0.5565,                 0.4799,                  0.327,                0.57846,                 0.5565,                0.48462,                0.32798,                 1.2983,                 1.9705,                 2.8606,                 1.2203,             0.00043508,             0.00043508,             0.00043508
                     15,                0.65983,                 1.0161,                 1.1281,                0.94527,                0.57846,                 0.5565,                 0.4799,                  0.327,                0.57846,                 0.5565,                0.48462,                0.32798,                 1.2983,                 1.9705,                 2.8606,                 1.2203,             0.00045447,             0.00045447,             0.00045447
                     16,                0.75725,                  1.018,                 1.3578,                0.95506,                0.38349,                0.70615,                0.37543,                0.24229,                0.36937,                0.68074,                0.37325,                0.23345,                 1.2697,                 2.4164,                 6.7894,                 1.2186,             0.00047216,             0.00047216,             0.00047216
                     17,                0.73452,                0.99293,                0.94112,                0.93291,                0.74842,                0.81081,                0.84973,                0.55702,                 0.7405,                0.81081,                0.78587,                0.41468,                 1.2312,                 4.2807,                 2.5759,                 1.1688,             0.00048815,             0.00048815,             0.00048815
                     18,                0.74811,                0.98983,                 1.6407,                0.91511,                0.74842,                0.81081,                0.84973,                0.55702,                 0.7405,                0.81081,                0.78587,                0.41468,                 1.2312,                 4.2807,                 2.5759,                 1.1688,             0.00050244,             0.00050244,             0.00050244
                     19,                0.68838,                0.96753,                 1.0322,                0.90258,                0.75766,                0.76055,                0.81469,                0.52877,                 0.7038,                 0.7065,                0.74718,                 0.3924,                 1.2566,                 5.1347,                 2.8283,                 1.1832,             0.00051503,             0.00051503,             0.00051503
                     20,                0.78717,                 1.1224,                 1.1402,                0.98213,                0.51934,                0.58419,                0.54581,                0.38198,                0.51934,                0.58419,                0.54588,                0.36456,                 1.3775,                 4.2187,                 2.2736,                 1.2879,             0.00052593,             0.00052593,             0.00052593
                     21,                0.78518,                  1.257,                  2.028,                 1.0122,                0.51934,                0.58419,                0.54581,                0.38198,                0.51934,                0.58419,                0.54588,                0.36456,                 1.3775,                 4.2187,                 2.2736,                 1.2879,             0.00053513,             0.00053513,             0.00053513
                     22,                0.74767,                0.92449,                 1.7072,                0.96416,                0.68824,                0.71617,                0.71373,                0.42041,                0.68824,                0.71617,                0.71373,                  0.402,                 1.4397,                  4.258,                  6.087,                 1.3918,             0.00054263,             0.00054263,             0.00054263
                     23,                0.70385,                 1.1605,                  1.022,                0.93677,                0.68824,                0.71617,                0.71373,                0.42041,                0.68824,                0.71617,                0.71373,                  0.402,                 1.4397,                  4.258,                  6.087,                 1.3918,             0.00054844,             0.00054844,             0.00054844
                     24,                0.76798,                 1.1032,                 1.1731,                 1.0006,                0.68009,                0.81081,                0.82094,                0.48981,                 0.7577,                0.67615,                0.79932,                0.36415,                 1.4027,                  3.402,                 3.0569,                 1.4329,             0.00055255,             0.00055255,             0.00055255
                     25,                0.79745,                 1.5003,                 1.2947,                  1.012,                0.68009,                0.81081,                0.82094,                0.48981,                 0.7577,                0.67615,                0.79932,                0.36415,                 1.4027,                  3.402,                 3.0569,                 1.4329,             0.00055496,             0.00055496,             0.00055496
                     26,                 0.8539,                 1.4859,                 1.1407,                 1.0518,                0.80057,                 0.7027,                0.80755,                0.45431,                0.80057,                 0.7027,                0.78817,                0.36865,                 1.4774,                 3.0022,                 3.1407,                 1.5284,             0.00055567,             0.00055567,             0.00055567
                     27,                 1.0698,                 1.9799,                 1.5472,                 1.2166,                0.80057,                 0.7027,                0.80755,                0.45431,                0.80057,                 0.7027,                0.78817,                0.36865,                 1.4774,                 3.0022,                 3.1407,                 1.5284,             0.00055468,             0.00055468,             0.00055468
                     28,                0.79914,                 1.3152,                 1.1962,                 1.0199,                0.88092,                 0.7027,                0.82973,                0.51553,                0.88092,                 0.7027,                0.83045,                0.50807,                 1.3673,                 2.4108,                   1.81,                 1.3319,               0.000552,               0.000552,               0.000552
                     29,                0.78296,                 1.2831,                 1.0176,                 1.0301,                0.88092,                 0.7027,                0.82973,                0.51553,                0.88092,                 0.7027,                0.83045,                0.50807,                 1.3673,                 2.4108,                   1.81,                 1.3319,             0.00054762,             0.00054762,             0.00054762
                     30,                0.76408,                  1.125,                 1.0631,                 1.0074,                0.88092,                 0.7027,                0.82973,                0.51553,                0.88092,                 0.7027,                0.83045,                0.50807,                 1.3673,                 2.4108,                   1.81,                 1.3319,             0.00054154,             0.00054154,             0.00054154
                     31,                0.72665,                0.95196,                0.92247,                0.96744,                0.71281,                0.75676,                0.80851,                0.53559,                0.71281,                0.75676,                0.79886,                0.42756,                 1.2359,                 3.2383,                 1.6963,                 1.2374,             0.00053376,             0.00053376,             0.00053376
                     32,                0.75663,                 1.2037,                 1.0447,                0.97661,                0.71281,                0.75676,                0.80851,                0.53559,                0.71281,                0.75676,                0.79886,                0.42756,                 1.2359,                 3.2383,                 1.6963,                 1.2374,             0.00052429,             0.00052429,             0.00052429
                     33,                  0.713,                  1.023,                 1.0131,                0.94021,                0.78307,                0.78378,                0.79397,                 0.5296,                0.78307,                0.78378,                0.79397,                0.45811,                 1.2706,                 3.0084,                 1.3708,                 1.2633,             0.00051311,             0.00051311,             0.00051311
                     34,                0.75557,                 1.0577,                0.79039,                0.95193,                0.78307,                0.78378,                0.79397,                 0.5296,                0.78307,                0.78378,                0.79397,                0.45811,                 1.2706,                 3.0084,                 1.3708,                 1.2633,             0.00049529,             0.00049529,             0.00049529
                     35,                0.78495,                 1.0433,                0.92269,                0.96299,                0.78307,                0.78378,                0.79397,                 0.5296,                0.78307,                0.78378,                0.79397,                0.45811,                 1.2706,                 3.0084,                 1.3708,                 1.2633,             0.00049529,             0.00049529,             0.00049529
                     36,                0.77743,                 1.1733,                0.95674,                0.98448,                0.84159,                0.75676,                0.83264,                0.57137,                0.84159,                0.75676,                0.81856,                0.42049,                 1.1967,                 3.1946,                 1.0978,                 1.1787,               0.000467,               0.000467,               0.000467
                     37,                0.74043,                 1.1821,                0.90115,                0.95041,                0.84159,                0.75676,                0.83264,                0.57137,                0.84159,                0.75676,                0.81856,                0.42049,                 1.1967,                 3.1946,                 1.0978,                 1.1787,              0.0004387,              0.0004387,              0.0004387
                     38,                0.79701,                 1.3982,                 1.1125,                0.96147,                0.84159,                0.75676,                0.83264,                0.57137,                0.84159,                0.75676,                0.81856,                0.42049,                 1.1967,                 3.1946,                 1.0978,                 1.1787,             0.00041041,             0.00041041,             0.00041041
                     39,                0.82931,                  1.098,                0.88631,                0.99106,                0.87925,                0.78727,                0.85647,                0.57918,                0.87925,                0.78727,                  0.856,                0.51721,                 1.2323,                 2.6401,                0.97827,                 1.1941,             0.00038211,             0.00038211,             0.00038211
                     40,                0.74098,                0.99725,                0.91573,                 1.0025,                0.87925,                0.78727,                0.85647,                0.57918,                0.87925,                0.78727,                  0.856,                0.51721,                 1.2323,                 2.6401,                0.97827,                 1.1941,             0.00035382,             0.00035382,             0.00035382
                     41,                0.72089,                 1.1205,                0.87474,                 1.0024,                0.93523,                0.78058,                0.84749,                0.58888,                0.93523,                0.78058,                0.84749,                0.52008,                 1.2445,                 2.2851,                 1.0037,                 1.2076,             0.00032553,             0.00032553,             0.00032553
                     42,                0.67321,                 0.9873,                0.77869,                0.96404,                0.93523,                0.78058,                0.84749,                0.58888,                0.93523,                0.78058,                0.84749,                0.52008,                 1.2445,                 2.2851,                 1.0037,                 1.2076,             0.00029723,             0.00029723,             0.00029723
                     43,                0.69299,                 1.1844,                0.80587,                0.96803,                0.93523,                0.78058,                0.84749,                0.58888,                0.93523,                0.78058,                0.84749,                0.52008,                 1.2445,                 2.2851,                 1.0037,                 1.2076,             0.00026894,             0.00026894,             0.00026894
                     44,                0.70506,                 1.1411,                0.82608,                0.94103,                0.81712,                0.75676,                0.79743,                0.54562,                0.81712,                0.75676,                0.78945,                0.50283,                 1.2538,                 2.2437,                 1.1034,                 1.2136,             0.00024064,             0.00024064,             0.00024064
                     45,                0.62093,                0.96915,                0.82856,                 0.9362,                0.81712,                0.75676,                0.79743,                0.54562,                0.81712,                0.75676,                0.78945,                0.50283,                 1.2538,                 2.2437,                 1.1034,                 1.2136,             0.00021235,             0.00021235,             0.00021235
                     46,                0.65372,                0.94181,                0.78043,                0.93952,                0.81712,                0.75676,                0.79743,                0.54562,                0.81712,                0.75676,                0.78945,                0.50283,                 1.2538,                 2.2437,                 1.1034,                 1.2136,             0.00018406,             0.00018406,             0.00018406
                     47,                 0.6741,                0.96108,                0.83291,                0.93857,                0.78225,                0.72973,                0.78147,                0.52033,                0.78225,                0.72973,                0.77974,                0.48522,                 1.2986,                 2.1524,                 1.1912,                 1.2323,             0.00015576,             0.00015576,             0.00015576
                     48,                0.64156,                0.94595,                0.71913,                0.95204,                0.78225,                0.72973,                0.78147,                0.52033,                0.78225,                0.72973,                0.77974,                0.48522,                 1.2986,                 2.1524,                 1.1912,                 1.2323,             0.00012747,             0.00012747,             0.00012747
                     49,                0.67532,                 1.0427,                0.80664,                0.98793,                0.81702,                0.72422,                0.80621,                0.55304,                0.81702,                0.72422,                0.80621,                0.54247,                 1.2527,                 1.9893,                 1.0962,                 1.2115,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                0.61438,                0.89109,                  0.717,                0.97401,                0.81702,                0.72422,                0.80621,                0.55304,                0.81702,                0.72422,                0.80621,                0.54247,                 1.2527,                 1.9893,                 1.0962,                 1.2115,             7.0878e-05,             7.0878e-05,             7.0878e-05
